ยิ่งเจริญ อำนาจเจริญ
สุชาติ อำนาจเจริญ
สีมาเฟอร์ โคราช
แสงสว่าง + มนัส ชัยภูมิ
สุชาติ บุรีรัมย์
บุญเรือง โคราช
นิพนธ์ โคราช
พ.พานิช ขอนแก่น
สายใจ ขอนแก่น
อุทัยเฟอร์ ขอนแก่น
ชัยรัตน์ ขอนแก่น
ชัยเทพ สระแก้ว
จอมขวัญ ชัยภูมิ
นพพร ร้อยเอ็ด
สง่า ร้อยเอ็ด
อัมรา ร้อยเอ็ด
ส.บูรพา อุดรฯ
หลุยส์ ชลบุรี
เฟิร์นวู้ด อ.ผักไห่
รัตนกานต์
อีสโคสท์
เมโทร ท๊อปวู้ด
คอมฟี่ ฟร๊อก
มหาชัย
ทรัพย์ลีลา
เอ๊กซ์คลูซิฟ
ดีไซน์
น่ำเซ้งล้ง
แนวหน้า
แอ๊ปโซลูท
S-วู้ด เมลามีนอาร์ต
ย่งพงษ์เส็ง
คิด แอนด์ ทอย
สันติฯ
แกรนด์ดิส
นีสเทิร์น
โมเดิร์น
ที.เอ็ม.พี.
UOT. (พันท้ายนรสิงห์)
โฮมฮับ-อุดร รับเอง
โฮมฮับ-ขอนแก่น รับเอง
โฮบฮับ-ทัพไท รับเอง
MLK รับเอง
IHK รับเอง
SOME SORN รับเอง
ปุ๊เฟอร์นิเจอร์ รับเอง
พิชัยเฟอร์ฯ รับเอง
แฟมิรี่ รับเอง
มาลีเฟอร์ฯ รับเอง
บุญเลิศ รับเอง
ปากคาด รับเอง
นภดล รับเอง
บางกอก รับเอง
